time,open,close,high,low
2019-01-02 14:30:00,1.13685,1.13700,1.13703,1.13663
2019-01-02 14:35:00,1.13700,1.13680,1.13712,1.13679
2019-01-02 14:40:00,1.13681,1.13674,1.13690,1.13664
2019-01-02 14:45:00,1.13673,1.13723,1.13736,1.13608
2019-01-02 14:50:00,1.13721,1.13655,1.13724,1.13638
2019-01-02 14:55:00,1.13656,1.13609,1.13689,1.13582
2019-01-02 15:00:00,1.13612,1.13657,1.13666,1.13582
2019-01-02 15:05:00,1.13658,1.13662,1.13683,1.13629
2019-01-02 15:10:00,1.13661,1.13688,1.13699,1.13637
2019-01-02 15:15:00,1.13689,1.13632,1.13690,1.13618
2019-01-02 15:20:00,1.13632,1.13531,1.13641,1.13523
2019-01-02 15:25:00,1.13530,1.13575,1.13584,1.13527
2019-01-02 15:30:00,1.13575,1.13547,1.13600,1.13529
2019-01-02 15:35:00,1.13547,1.13457,1.13557,1.13421
2019-01-02 15:40:00,1.13456,1.13519,1.13532,1.13455
2019-01-02 15:45:00,1.13519,1.13543,1.13558,1.13506
2019-01-02 15:50:00,1.13542,1.13530,1.13559,1.13502
2019-01-02 15:55:00,1.13531,1.13538,1.13579,1.13509
2019-01-02 16:00:00,1.13539,1.13575,1.13604,1.13527
2019-01-02 16:05:00,1.13575,1.13573,1.13623,1.13561
2019-01-02 16:10:00,1.13574,1.13594,1.13615,1.13572
2019-01-02 16:15:00,1.13593,1.13571,1.13593,1.13530
2019-01-02 16:20:00,1.13571,1.13581,1.13600,1.13548
2019-01-02 16:25:00,1.13582,1.13551,1.13593,1.13550
2019-01-02 16:30:00,1.13551,1.13548,1.13597,1.13538
2019-01-02 16:35:00,1.13548,1.13517,1.13551,1.13508
2019-01-02 16:40:00,1.13516,1.13508,1.13533,1.13490
2019-01-02 16:45:00,1.13508,1.13546,1.13565,1.13507
2019-01-02 16:50:00,1.13547,1.13574,1.13589,1.13545
2019-01-02 16:55:00,1.13573,1.13568,1.13587,1.13560
2019-01-02 17:00:00,1.13568,1.13548,1.13572,1.13533
2019-01-02 17:05:00,1.13548,1.13527,1.13557,1.13525
2019-01-02 17:10:00,1.13528,1.13502,1.13528,1.13468
2019-01-02 17:15:00,1.13502,1.13458,1.13518,1.13434
2019-01-02 17:20:00,1.13459,1.13439,1.13478,1.13355
2019-01-02 17:25:00,1.13438,1.13473,1.13484,1.13438
2019-01-02 17:30:00,1.13475,1.13493,1.13509,1.13473
2019-01-02 17:35:00,1.13494,1.13436,1.13510,1.13424
2019-01-02 17:40:00,1.13435,1.13368,1.13447,1.13336
2019-01-02 17:45:00,1.13368,1.13336,1.13393,1.13316
2019-01-02 17:50:00,1.13337,1.13341,1.13353,1.13315
2019-01-02 17:55:00,1.13341,1.13355,1.13389,1.13340
2019-01-02 18:00:00,1.13355,1.13328,1.13365,1.13318
2019-01-02 18:05:00,1.13328,1.13309,1.13363,1.13308
2019-01-02 18:10:00,1.13311,1.13307,1.13340,1.13262
2019-01-02 18:15:00,1.13307,1.13328,1.13349,1.13307
2019-01-02 18:20:00,1.13329,1.13303,1.13340,1.13299
2019-01-02 18:25:00,1.13300,1.13304,1.13309,1.13284
2019-01-02 18:30:00,1.13303,1.13290,1.13304,1.13282
2019-01-02 18:35:00,1.13290,1.13282,1.13294,1.13274
2019-01-02 18:40:00,1.13282,1.13280,1.13307,1.13279
2019-01-02 18:45:00,1.13281,1.13305,1.13306,1.13280
2019-01-02 18:50:00,1.13304,1.13304,1.13309,1.13296
2019-01-02 18:55:00,1.13304,1.13281,1.13307,1.13281
2019-01-02 19:00:00,1.13282,1.13282,1.13304,1.13275
2019-01-02 19:05:00,1.13281,1.13319,1.13319,1.13253
2019-01-02 19:10:00,1.13318,1.13315,1.13320,1.13309
2019-01-02 19:15:00,1.13316,1.13324,1.13332,1.13294
2019-01-02 19:20:00,1.13324,1.13307,1.13327,1.13295
2019-01-02 19:25:00,1.13305,1.13374,1.13399,1.13305
2019-01-02 19:30:00,1.13373,1.13377,1.13385,1.13367
2019-01-02 19:35:00,1.13377,1.13376,1.13383,1.13370
2019-01-02 19:40:00,1.13376,1.13384,1.13386,1.13354
2019-01-02 19:45:00,1.13382,1.13395,1.13397,1.13377
2019-01-02 19:50:00,1.13396,1.13414,1.13431,1.13372
2019-01-02 19:55:00,1.13413,1.13439,1.13444,1.13413
2019-01-02 20:00:00,1.13439,1.13433,1.13446,1.13426
2019-01-02 20:05:00,1.13433,1.13429,1.13439,1.13408
2019-01-02 20:10:00,1.13430,1.13416,1.13436,1.13409
2019-01-02 20:15:00,1.13415,1.13435,1.13453,1.13408
2019-01-02 20:20:00,1.13434,1.13455,1.13463,1.13429
2019-01-02 20:25:00,1.13455,1.13455,1.13465,1.13443
2019-01-02 20:30:00,1.13454,1.13460,1.13460,1.13438
2019-01-02 20:35:00,1.13460,1.13475,1.13475,1.13455
2019-01-02 20:40:00,1.13475,1.13461,1.13479,1.13454
2019-01-02 20:45:00,1.13461,1.13475,1.13479,1.13459
2019-01-02 20:50:00,1.13475,1.13454,1.13478,1.13453
2019-01-02 20:55:00,1.13455,1.13458,1.13467,1.13446
2019-01-02 21:00:00,1.13459,1.13418,1.13460,1.13418
2019-01-02 21:05:00,1.13419,1.13449,1.13451,1.13404
2019-01-02 21:10:00,1.13450,1.13439,1.13450,1.13438
2019-01-02 21:15:00,1.13438,1.13414,1.13439,1.13409
2019-01-02 21:20:00,1.13412,1.13434,1.13437,1.13412
2019-01-02 21:25:00,1.13434,1.13420,1.13439,1.13410
2019-01-02 21:30:00,1.13421,1.13474,1.13477,1.13415
2019-01-02 21:35:00,1.13474,1.13465,1.13475,1.13436
2019-01-02 21:40:00,1.13464,1.13456,1.13478,1.13454
2019-01-02 21:45:00,1.13455,1.13466,1.13480,1.13450
2019-01-02 21:50:00,1.13466,1.13440,1.13469,1.13435
2019-01-02 21:55:00,1.13440,1.13456,1.13461,1.13427
2019-01-02 22:00:00,1.13456,1.13454,1.13479,1.13452
2019-01-02 22:05:00,1.13453,1.13456,1.13465,1.13449
2019-01-02 22:10:00,1.13456,1.13449,1.13465,1.13440
2019-01-02 22:15:00,1.13447,1.13464,1.13470,1.13441
2019-01-02 22:20:00,1.13463,1.13437,1.13472,1.13385
2019-01-02 22:25:00,1.13439,1.13356,1.13457,1.13344
2019-01-02 22:30:00,1.13356,1.13323,1.13377,1.13322
2019-01-02 22:35:00,1.13325,1.13282,1.13326,1.13169
2019-01-02 22:40:00,1.13281,1.13284,1.13437,1.13204
2019-01-02 22:45:00,1.13280,1.13341,1.13439,1.13195
2019-01-02 22:50:00,1.13354,1.13387,1.13395,1.13279
2019-01-02 22:55:00,1.13387,1.13490,1.13614,1.13245
2019-01-02 23:00:00,1.13491,1.13481,1.13501,1.13341
2019-01-02 23:05:00,1.13485,1.13510,1.13526,1.13413
2019-01-02 23:10:00,1.13507,1.13465,1.13507,1.13448
2019-01-02 23:15:00,1.13465,1.13347,1.13466,1.13332
2019-01-02 23:20:00,1.13347,1.13417,1.13437,1.13345
2019-01-02 23:25:00,1.13416,1.13396,1.13429,1.13384
2019-01-02 23:30:00,1.13401,1.13414,1.13444,1.13391
2019-01-02 23:35:00,1.13415,1.13323,1.13421,1.13319
2019-01-02 23:40:00,1.13324,1.13350,1.13364,1.13322
2019-01-02 23:45:00,1.13350,1.13258,1.13351,1.13258
2019-01-02 23:50:00,1.13258,1.13147,1.13282,1.13098
2019-01-02 23:55:00,1.13148,1.13129,1.13244,1.13117
